#{"t_start": 1682102231.7842994, "env_id": null}
r,l,t
-105.398842,15,39.297077
-108.245187,32,39.318423
-22.554889,151,39.471168
17.858073,112,39.545076
-45.2504,151,39.646104
-110.461074,29,39.665485
-25.320985,151,39.768219
-7.389829,91,39.830113
-102.654796,30,39.850561
-31.00048,151,39.955295
-106.380501,18,39.967784
-18.269382,151,40.069439
-143.298632,92,40.131337
-135.151073,105,40.201122
-13.019251,151,40.3015
-23.727379,151,40.400856
-115.420683,34,40.423806
-31.559088,151,40.523218
-130.560443,126,40.606509
-111.994273,100,40.675481
-32.619269,151,40.776147
-101.009594,147,40.931494
-31.551134,151,41.032172
-101.67131,122,41.113212
-122.838234,51,41.147109
-114.384658,44,41.176377
-137.844912,143,41.27096
-11.136393,151,41.374312
-114.213973,51,41.408692
-105.578315,54,41.444519
-12.192637,151,41.545133
-58.954543,151,41.647259
-106.073563,16,41.658642
-10.056289,151,41.759905
66.595325,151,41.860222
11.447049,90,41.92152
-69.45669,151,42.023997
-125.276741,69,42.070077
-106.544234,20,42.083838
-57.269062,67,42.128332
-54.286783,151,42.230395
-59.229485,151,42.385028
-101.232284,111,42.459139
-113.818371,52,42.493923
-0.886944,151,42.594391
-67.636998,79,42.647606
-106.350452,32,42.6791
-103.84523,44,42.710437
-43.557841,151,42.819429
-125.113223,135,42.915201
-54.806102,151,43.020755
-112.761204,40,43.049501
-102.16826,48,43.083611
-8.216565,151,43.190897
-117.11499,70,43.24045
-46.162251,105,43.313769
-57.864847,151,43.419769
-140.138759,88,43.485071
-50.875778,151,43.585252
-30.039389,151,43.68675
-122.008324,108,43.813402
-43.263047,151,43.916369
-44.602014,151,44.017632
-40.469724,151,44.117906
-124.287628,69,44.164474
-157.03156,141,44.260494
-116.505199,48,44.292675
-37.261611,151,44.392116
-122.576219,79,44.445173
-60.429418,12,44.453609
-101.664209,26,44.471168
1.674319,151,44.571109
91.687229,151,44.671289
-19.131677,151,44.772444
-105.914344,54,44.808765
-103.217276,24,44.825024
-108.803001,32,44.846654
-116.50108,113,44.924489
-121.518105,115,45.000942
-111.74894,38,45.026261
-102.70674,15,45.036771
-23.855762,151,45.136456
-110.663398,35,45.213128
-57.395858,151,45.313367
-26.950168,151,45.413889
-40.301026,58,45.452487
-20.974329,151,45.553009
196.662914,151,45.65611
-115.015897,53,45.691427
-59.268708,151,45.791617
-127.136261,93,45.85419
-13.78936,151,45.954022
-118.654324,52,45.98874
-66.833995,41,46.01632
12.570664,151,46.116286
-123.059285,77,46.167731
-49.231274,151,46.270668
44.62725,151,46.370758
-56.896646,151,46.47131
-45.779544,151,46.574518
-104.325296,32,46.652217
-18.038846,151,46.752556
-104.25512,114,46.828113
-140.2838,130,46.914047
-47.904998,151,47.018113
-58.283846,151,47.1189
-41.337083,151,47.221018
