#{"t_start": 1681927915.74368, "env_id": null}
r,l,t
-133.803305,79,404.533404
-109.679712,142,405.187985
-47.021954,51,405.235692
333.480378,201,405.914524
-113.034738,143,406.66505
-116.825282,188,407.296778
-134.227144,84,407.892825
-92.219076,74,407.972351
24.854106,201,408.689533
-40.633746,68,409.154197
-121.314699,50,409.20308
-129.326056,112,409.740922
8.377015,201,410.45803
-116.862067,127,411.148932
-124.489358,52,411.772461
-123.166081,71,411.840248
-120.216998,108,412.316896
19.582631,147,412.888132
-32.91558,86,413.412172
-95.969645,90,413.88173
18.601551,201,414.576684
-112.254268,164,415.307544
-125.175196,123,415.421332
-124.159271,151,416.188909
7.610048,201,416.886794
-112.354544,123,417.501647
4.910725,201,418.301335
7.589899,201,418.990063
-118.778721,94,419.581253
14.740868,201,420.320144
18.038799,201,421.035741
20.802465,201,421.791862
-123.460201,110,422.377797
-133.344389,88,422.467975
-127.854913,53,423.020708
-109.93074,166,423.707326
27.650743,201,424.413844
-55.529825,33,424.445347
-129.641432,40,424.483734
10.456085,201,425.034038
63.872331,118,425.639374
-137.57337,127,426.239821
-113.130706,177,426.945255
-127.18329,62,427.409709
-121.902214,61,427.470811
-130.647912,46,427.51671
333.414481,201,428.172652
-35.453568,58,428.227892
-112.814922,143,428.849128
-121.543032,108,428.955035
161.888243,201,429.784383
-88.178484,91,430.343463
-127.833384,87,430.42424
